id,item,item.type,statement,statement.rt,agreement,strength,argument,argument.rt,word.count,gender,age
R_AFjOleDXKveANvX,I1x,critical,1,3.079,agree,fully,3,3.234,286,2,35
R_AFjOleDXKveANvX,I2x,critical,4,3.034,disagree,fully,3,3.243,194,2,35
R_AFjOleDXKveANvX,I3x,critical,4,4.207,disagree,fully,3,5.547,239,2,35
R_AFjOleDXKveANvX,I4x,critical,2,7.027,agree,somewhat,2,3.135,205,2,35
R_AFjOleDXKveANvX,I5x,critical,1,3.84,agree,fully,2,5.748,193,2,35
R_AFjOleDXKveANvX,I6x,critical,2,3.383,agree,somewhat,2,6.313,218,2,35
R_AFjOleDXKveANvX,I7x,critical,3,3.968,disagree,somewhat,2,3.503,233,2,35
R_AFjOleDXKveANvX,I8x,critical,1,3.233,agree,fully,1,2.235,191,2,35
R_AFjOleDXKveANvX,I9x,critical,1,2.604,agree,fully,1,3.825,175,2,35
R_AFjOleDXKveANvX,I10x,critical,1,3.889,agree,fully,3,8.678,181,2,35
R_AFjOleDXKveANvX,I11x,critical,4,4.51,disagree,fully,3,1.946,180,2,35
R_AFjOleDXKveANvX,I12x,critical,1,3.302,agree,fully,2,3.37,237,2,35
R_AFjOleDXKveANvX,I13x,critical,3,6.876,disagree,somewhat,2,5.828,278,2,35
R_AFjOleDXKveANvX,I14x,critical,3,5.454,disagree,somewhat,3,25.289,199,2,35
R_AFjOleDXKveANvX,I15x,critical,2,3.281,agree,somewhat,3,5.542,216,2,35
R_AFjOleDXKveANvX,I16x,critical,3,4.955,disagree,somewhat,3,7.948,199,2,35
R_AFjOleDXKveANvX,I17x,critical,1,2.794,agree,fully,3,6.298,212,2,35
R_AFjOleDXKveANvX,I18x,critical,1,3.269,agree,fully,3,7.717,201,2,35
R_AFjOleDXKveANvX,F1x,filler,3,7.377,filler,filler,3,3.268,211,2,35
R_AFjOleDXKveANvX,F2x,filler,4,2.965,filler,filler,3,7.245,300,2,35
R_AFjOleDXKveANvX,F3x,filler,4,2.204,filler,filler,3,3.129,209,2,35
R_AFjOleDXKveANvX,F4x,filler,2,3.414,filler,filler,1,2.687,304,2,35
R_AFjOleDXKveANvX,F5x,filler,2,4.361,filler,filler,1,8.724,296,2,35
R_AFjOleDXKveANvX,F6x,filler,3,3.94,filler,filler,3,2.004,256,2,35
R_AFjOleDXKveANvX,F7x,filler,4,3.124,filler,filler,1,2.799,298,2,35
R_AFjOleDXKveANvX,F8x,filler,4,4.617,filler,filler,3,8.058,301,2,35
R_AFjOleDXKveANvX,F9x,filler,3,4.441,filler,filler,2,2.308,265,2,35
R_AFjOleDXKveANvX,F10x,filler,1,3.878,filler,filler,1,2.722,246,2,35
R_AFjOleDXKveANvX,F11x,filler,3,5.348,filler,filler,1,4.168,190,2,35
R_AFjOleDXKveANvX,F12x,filler,1,3.957,filler,filler,2,6.217,221,2,35
R_AFjOleDXKveANvX,F13x,filler,2,3.283,filler,filler,1,2.325,210,2,35
R_AFjOleDXKveANvX,F14x,filler,2,7.738,filler,filler,3,2.045,312,2,35
R_AFjOleDXKveANvX,F15x,filler,4,2.582,filler,filler,3,7.552,240,2,35
R_AFjOleDXKveANvX,F16x,filler,2,7.267,filler,filler,3,2.813,319,2,35
R_AFjOleDXKveANvX,F17x,filler,2,5.11,filler,filler,3,2.366,321,2,35
R_AFjOleDXKveANvX,F18x,filler,2,4.472,filler,filler,3,8.525,220,2,35
R_AFjOleDXKveANvX,F19x,filler,2,1.787,filler,filler,1,2.631,208,2,35
R_AFjOleDXKveANvX,F20x,filler,2,11.997,filler,filler,3,1.509,286,2,35
R_AFjOleDXKveANvX,F21x,filler,2,6.899,filler,filler,3,2.052,311,2,35
R_AFjOleDXKveANvX,F22x,filler,3,4.082,filler,filler,2,2.431,304,2,35
R_AFjOleDXKveANvX,F23x,filler,3,27.101,filler,filler,1,9.083,274,2,35
R_AFjOleDXKveANvX,F24x,filler,4,7.876,filler,filler,3,3.931,237,2,35
R_1Hdd8rFoWM32MIy,I1x,critical,2,2.27,agree,somewhat,3,6.978,286,2,30
R_1Hdd8rFoWM32MIy,I2x,critical,4,2.263,disagree,fully,2,2.767,194,2,30
R_1Hdd8rFoWM32MIy,I3x,critical,1,1.811,agree,fully,3,2.568,206,2,30
R_1Hdd8rFoWM32MIy,I4x,critical,2,2.643,agree,somewhat,2,1.844,205,2,30
R_1Hdd8rFoWM32MIy,I5x,critical,2,2.654,agree,somewhat,3,2.29,193,2,30
R_1Hdd8rFoWM32MIy,I6x,critical,1,2.642,agree,fully,2,4.484,218,2,30
R_1Hdd8rFoWM32MIy,I7x,critical,3,3.115,disagree,somewhat,3,3.837,233,2,30
R_1Hdd8rFoWM32MIy,I8x,critical,2,2.599,agree,somewhat,3,2.124,191,2,30
R_1Hdd8rFoWM32MIy,I9x,critical,2,2.279,agree,somewhat,3,3.811,175,2,30
